Least of These Carolinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget vs. Actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All dates; Accounting Method: Cash; Budget: Budget_FY26_P&L; Display columns by: ; Show rows: Active; Show columns: Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Administrative Actual,Administrative Budget,Administrative Over Budget,Administrative % of Budget,Childrens Programs &lt; Actual,Childrens Programs &lt; Budget,Childrens Programs &lt; Over Budget,Childrens Programs &lt; % of Budget,Baby Equipment Actual,Baby Equipment Budget,Baby Equipment Over Budget,Baby Equipment % of Budget,Bags of Hope Actual,Bags of Hope Budget,Bags of Hope Over Budget,Bags of Hope % of Budget,Beds of Hope Actual,Beds of Hope Budget,Beds of Hope Over Budget,Beds of Hope % of Budget,Birthdays Actual,Birthdays Budget,Birthdays Over Budget,Birthdays % of Budget,Bridge Camp Actual,Bridge Camp Budget,Bridge Camp Over Budget,Bridge Camp % of Budget,Christmas Actual,Christmas Budget,Christmas Over Budget,Christmas % of Budget,Just Like You Actual,Just Like You Budget,Just Like You Over Budget,Just Like You % of Budget,Life Boxes Actual,Life Boxes Budget,Life Boxes Over Budget,Life Boxes % of Budget,Shoes of Hope Actual,Shoes of Hope Budget,Shoes of Hope Over Budget,Shoes of Hope % of Budget,Total Childrens Programs &lt; Actual,Total Childrens Programs &lt; Budget,Total Childrens Programs &lt; Over Budget,Total Childrens Programs &lt; % of Budget,Cornerstone Fund Actual,Cornerstone Fund Budget,Cornerstone Fund Over Budget,Cornerstone Fund % of Budget,Fundraising &lt; Actual,Fundraising &lt; Budget,Fundraising &lt; Over Budget,Fundraising &lt; % of Budget,Golf Tournament Actual,Golf Tournament Budget,Golf Tournament Over Budget,Golf Tournament % of Budget,Vision Night Actual,Vision Night Budget,Vision Night Over Budget,Vision Night % of Budget,Total Fundraising &lt; Actual,Total Fundraising &lt; Budget,Total Fundraising &lt; Over Budget,Total Fundraising &lt; % of Budget,NC Expansion Actual,NC Expansion Budget,NC Expansion Over Budget,NC Expansion % of Budget,Support Services Actual,Support Services Budget,Support Services Over Budget,Support Services % of Budget,Total Actual,Total Budget,Total Over Budget,Total % of Budget
695 Support Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
69500 Foster Care Symposium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.00,-3500.00,,0.00,3500.00,-3500.00,0.00%
695002 GAL Appreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,2500.00,-2200.00,12.00 %,300.00,2500.00,-2200.00,12.00 %
69501 Foster Parent Appreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.00,-2250.00,,0.00,2250.00,-2250.00,0.00%
69541 Social Worker Appreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48,5000.00,-4983.52,0.33 %,16.48,5000.00,-4983.52,0.33 %
69555 Volunteer Appreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,-2000.00,,0.00,2000.00,-2000.00,0.00%
Total 695 Support Services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.48,15250.00,-14933.52,2.08 %,316.48,15250.00,-14933.52,2.08 %
770 Allocations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
77002 SG&A Allocations,,-731092.73,731092.73,,,,,,,19577.63,-19577.63,,,255254.50,-255254.50,,,19577.63,-19577.63,,,27181.17,-27181.17,,,89516.08,-89516.08,,,125724.38,-125724.38,,,19577.63,-19577.63,,,19577.63,-19577.63,,,100339.56,-100339.56,,,676326.21,-676326.21,,,,,,,,,,,,,,,,,,,,,,,,,,,54766.51,-54766.51,,0.00,-0.01,0.01,0.00%
Total 770 Allocations,0.00,-731092.73,731092.73,0.00,0.00,0.00,0.00,0.00,0.00,19577.63,-19577.63,0.00,0.00,255254.50,-255254.50,0.00,0.00,19577.63,-19577.63,0.00,0.00,27181.17,-27181.17,0.00,0.00,89516.08,-89516.08,0.00,0.00,125724.38,-125724.38,0.00,0.00,19577.63,-19577.63,0.00,0.00,19577.63,-19577.63,0.00,0.00,100339.56,-100339.56,0.00,0.00,676326.21,-676326.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54766.51,-54766.51,0.00,0.00,-0.01,0.01,0.00%
8000 Fundraising and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
69530 Community Development,88.28,3000.00,-2911.72,2.94 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.28,3000.00,-2911.72,2.94 %
80015 Expansion Related Costs,,32000.00,-32000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,32000.00,-32000.00,0.00%
80020 Scholarship Expense,,500.00,-500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,500.00,-500.00,0.00%
Total 8000 Fundraising and Community Development,88.28,35500.00,-35411.72,0.25 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.28,35500.00,-35411.72,0.25 %
Total Expenditures,98258.33,229444.19,-131185.86,42.82 %,0.00,0.00,0.00,0.00%,472.96,23577.63,-23104.67,2.01 %,12841.22,432254.50,-419413.28,2.97 %,442.93,38577.63,-38134.70,1.15 %,50.73,34681.17,-34630.44,0.15 %,0.00,226966.08,-226966.08,0.00%,1942.69,160174.38,-158231.69,1.21 %,900.00,43577.63,-42677.63,2.07 %,0.00,33577.63,-33577.63,0.00%,0.00,141089.56,-141089.56,0.00%,16650.53,1134476.21,-1117825.68,1.47 %,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,11250.00,-11250.00,0.00%,296.70,7095.00,-6798.30,4.18 %,296.70,18345.00,-18048.30,1.62 %,0.00,0.00,0.00,0.00%,316.48,70016.51,-69700.03,0.45 %,115522.04,1452281.91,-1336759.87,7.95 %
Net Operating Revenue,-35765.48,-0.04,-35765.44,"89,413,700.00 %",0.00,0.00,0.00,0.00%,-472.96,0.00,-472.96,0.00%,-3245.07,0.04,-3245.11,"-8,112,675.00 %",-442.93,0.00,-442.93,0.00%,249.27,0.00,249.27,0.00%,2270.00,0.00,2270.00,0.00%,-451.69,0.00,-451.69,0.00%,-900.00,0.00,-900.00,0.00%,1083.00,0.00,1083.00,0.00%,0.00,0.00,0.00,0.00%,-1910.38,0.04,-1910.42,"-4,775,950.00 %",0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,513.30,0.00,513.30,0.00%,513.30,0.00,513.30,0.00%,0.00,0.00,0.00,0.00%,-316.48,0.00,-316.48,0.00%,-37479.04,0.00,-37479.04,0.00%
Net Revenue,-35765.48,-0.04,-35765.44,"89,413,700.00 %",0.00,0.00,0.00,0.00%,-472.96,0.00,-472.96,0.00%,-3245.07,0.04,-3245.11,"-8,112,675.00 %",-442.93,0.00,-442.93,0.00%,249.27,0.00,249.27,0.00%,2270.00,0.00,2270.00,0.00%,-451.69,0.00,-451.69,0.00%,-900.00,0.00,-900.00,0.00%,1083.00,0.00,1083.00,0.00%,0.00,0.00,0.00,0.00%,-1910.38,0.04,-1910.42,"-4,775,950.00 %",0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,513.30,0.00,513.30,0.00%,513.30,0.00,513.30,0.00%,0.00,0.00,0.00,0.00%,-316.48,0.00,-316.48,0.00%,-37479.04,0.00,-37479.04,0.00%
